	variable	d	CuedHalf	Alignment	Congruency	participant	ProbabilityCue
103	Incongruent_Misligned_Top	2.782637511588625	Top	MisAligned	Incongruent	8	75cueTarget
104	Incongruent_Misligned_Top	1.233605469497848	Top	MisAligned	Incongruent	9	75cueTarget
105	Incongruent_Misligned_Top	1.805952078252641	Top	MisAligned	Incongruent	10	75cueTarget
106	Incongruent_Misligned_Top	1.466645861007767	Top	MisAligned	Incongruent	11	75cueTarget
107	Incongruent_Misligned_Top	2.1240116692541124	Top	MisAligned	Incongruent	12	75cueTarget
108	Incongruent_Misligned_Top	2.782637511588625	Top	MisAligned	Incongruent	13	75cueTarget
109	Incongruent_Misligned_Top	2.1109074179822827	Top	MisAligned	Incongruent	14	75cueTarget
110	Incongruent_Misligned_Top	2.0650519409343744	Top	MisAligned	Incongruent	15	75cueTarget
111	Incongruent_Misligned_Top	2.652445746893024	Top	MisAligned	Incongruent	16	75cueTarget
112	Incongruent_Misligned_Top	1.855282021199397	Top	MisAligned	Incongruent	17	75cueTarget
113	Incongruent_Misligned_Top	1.1131631858917896	Top	MisAligned	Incongruent	18	75cueTarget
114	Incongruent_Misligned_Top	2.9446862524527	Top	MisAligned	Incongruent	19	75cueTarget
